Tweet,Polarity,Subjectivity
Buy  Between Nukes and Rockets: Iran vs Israel’s Deadly Standoff  on @Gumroad https://t.co/zRzJ2Viv1n,-0.2,0.4
"@LibAssaultMemes @cenkuygur Israel’s nukes deter annihilation — they’ve never threatened to erase another nation. Meanwhile 90%+ of M.E. wars are Arabs vs Arabs or Iran proxies: Iran-Iraq (1M dead), Syria (600K+), Yemen (377K). Stop scapegoating Israel. It’s lazy, dishonest, and intellectually bankrupt.",-0.113,0.575
"My new op-ed in the @nytimes.I argue that Iranians are caught in a state of “moral paralysis,” a psychological trap set by the Islamic Republic itself. It pits two of our most sacred values against each other: liberation vs. self-determination. (1/2) https://t.co/4eFNGvyej2",0.102,0.336
Israel vs Iran? Prophecy's Real? Let's Dive In! (Ezekiel 38 &amp; 39) https://t.co/d5tTaCgxiB via @YouTube,0.25,0.3
"TRUMP vs IRAN 🎭 THEATER🎭  TIT for TAT 48hr one  op war""Israel for last""-Q in progress @PaTrumpGirl @ShaykhSulaiman@Partisangirl @Kahlissee @TishaLee777 @MazeLove14 @laralogan @DaLyingTruths1@RealAlexJones @Lukewearechangehttps://t.co/u2P0ytT07M",0.0,0.067
IRAN VS ISRAEL: ROUND TWO PREPARATIONS CONTINUE!Iran Israel Tel Aviv #TrumpIsWarCriminal#TrumpisaNationalDisgraceCheck out TheFlipFlopChronicles's video! #TikTok https://t.co/8Ff4CHfoaW,-0.25,0.4
"How can we help Iran? Our own military is weak.Bangladesh needs to stop picking sides.""Israel VS Iran"" is not our business. https://t.co/nNIHCK3uNh",0.25,0.55
@davidicke Donald Trump &amp; Iran Vs. Israel &amp; The New World Orderhttps://t.co/jIQmr2hRcG,0.136,0.455
"POLITICS AS USUAL W/RC EPISODE 7 DONALD TRUMP VS ELON MUSK , IRAN/ISRAEL... https://t.co/SYFFRQJ6DT via @YouTube",-0.25,0.25
@davidicke Donald Trump &amp; Iran Vs. Israel &amp; The New World Orderhttps://t.co/H8LOwVHxrk,0.136,0.455
The Iran vs. Israel conflict just changed the Middle East power dynamics. Now everyone knows who to run to when the bully crashes the party uninvited.Who really won the WAR?,0.1,0.1
"@GA_Record @JohnGordonTruth Trump vs. Judge Murphy, Robotaxi Sparks Tesla Stock Surge &amp; Iran-Israel Ceasefire ThreatenedGet more link:https://t.co/RQeQTPgdvL",0.5,0.5
"@VibesPatrol @RepThomasMassie @RoKhanna Trump vs. Judge Murphy, Robotaxi Sparks Tesla Stock Surge &amp; Iran-Israel Ceasefire ThreatenedGet more link:https://t.co/RQeQTPgdvL",0.5,0.5
"Trump vs. Judge Murphy, Robotaxi Sparks Tesla Stock Surge &amp; Iran-Israel Ceasefire ThreatenedGet more live link:https://t.co/RQeQTPgdvL https://t.co/cNAUicD4qX",0.318,0.5
"Trump is inexperienced and frankly, stupid. Why? He reframed Israel vs Iran as ""our war"" thinking he could take credit for ending it. Sorry Donny. You reframed the narrative and now you gotta wear the stink.  #NobelPeacePrizeFever https://t.co/7aIKrxI7xN",-0.467,0.867
"Trump vs. Judge Murphy, Robotaxi Sparks Tesla Stock Surge &amp; Iran-Israel Ceasefire Threatenedhttps://t.co/VezYPeCdbK @JohnGordonTruth",0.0,0.0
"Trump vs. Judge Murphy, Robotaxi Sparks Tesla Stock Surge &amp; Iran-Israel Ceasefire ThreatenedWatch @JohnGordonTruth on CDM dot Press! https://t.co/jE4vV8PvFT",0.0,0.0
"Trump vs. Judge Murphy, Robotaxi Sparks Tesla Stock Surge &amp; Iran-Israel Ceasefire Threatenedhttps://t.co/bwARIbQ80e @JohnGordonTruth",0.0,0.0
"@EYakoby Israel vs Iran = Good stuff, basically saving the world. Israel in gaza = Already a war crime, no excuse. Just killing for fun",0.342,0.283
"@BBCWorld Just like Pakistan claimed victory over India, now Israel is doing the same. Iran, too, claims it won. Even Trump calls himself a winner. These days, in 1–15 day wars, everyone declares victory. But real conflicts...like Russia vs. Ukraine...show the truth. It takes much more to",0.233,0.308
